# omegabh2, omegach2, theta, logA, ns
# mean /home/lthiele/COM_CosmoParams_base-plikHM-TTTEEE-lowl-lowE_R3.00/base/plikHM_TTTEEE_lowl_lowE/dist/base_plikHM_TTTEEE_lowl_lowE.margestats:
2.235976599999999967e-02 1.202001199999999936e-01 1.040903600000000040e+00 3.044736299999999840e+00 9.648576399999999609e-01
# covariance /home/lthiele/COM_CosmoParams_base-plikHM-TTTEEE-lowl-lowE_R3.00/base/plikHM_TTTEEE_lowl_lowE/dist/base_plikHM_TTTEEE_lowl_lowE.covmat:
8.855994800000000351e-08 -4.714681199999999822e-07 6.710875999999999853e-08 1.377374880000000078e-06 1.181661640000000028e-06
-4.714681199999999822e-07 7.465968399999999897e-06 -5.909134800000000128e-07 -6.672475199999999890e-06 -1.742341759999999938e-05
6.710875999999999853e-08 -5.909134800000000128e-07 3.831541520000000130e-07 1.289046679999999992e-06 1.886166919999999900e-06
1.377374880000000078e-06 -6.672475199999999890e-06 1.289046679999999992e-06 1.012878519999999916e-03 3.192228999999999689e-05
1.181661640000000028e-06 -1.742341759999999938e-05 1.886166919999999900e-06 3.192228999999999689e-05 7.633031199999999608e-05
